modis_sst,modis_chlora,salinity,bathymetry_m,latitude,longitude,depth,aragonite,latitude,longitude
4.485000133514404,,31.4298,69.0,59.72,-171.14,3.0,4.036185562424852,59.72,-171.14
13.594999313354492,,35.691,4406.0,49.999,-20.001,3.0,5.042867277264498,49.999,-20.001
,,34.837,37.0,55.001,3.5035,5.433,3.782045365996207,55.001,3.5035
10.755000114440918,,34.544,4559.0,-50.499,-150.0,5.0,4.070064366134158,-50.499,-150.0
27.4375,,34.678,4642.0,-15.169,94.997,5.0,4.598618645049215,-15.169,94.997
,,35.165,1490.0,59.2,-17.88,5.0,4.678048219974766,59.2,-17.88
23.948888778686523,,33.651,3755.0,2.0003,-110.0,3.0,4.150456258682048,2.0003,-110.0
27.771665573120117,,35.117,5055.0,-1.3337,-3.0,5.0,4.548726934154008,-1.3337,-3.0
29.58625030517578,,34.004,5020.0,9.9955,163.98,0.0,4.242686049600065,9.9955,163.98
,,34.008,5534.0,41.0,155.0,10.0,4.569811754819648,41.0,155.0
,,35.609,5319.0,-9.5007,-169.0,2.6848,5.146165808918477,-9.5007,-169.0
,,34.726,39.0,56.983,5.25,10.0,4.807537286232014,56.983,5.25
,,31.2999,39.0,59.8667,-167.9942,10.0,1.0589858706582935,59.8667,-167.9942
17.799999237060547,,35.152,4083.0,-37.999,95.004,5.0,4.504811050875594,-37.999,95.004
,,39.152,2739.0,32.5,25.53,9.0,5.17212055427034,32.5,25.53
,,28.622,17.0,54.399,8.0996,10.0,1.903325994687893,54.399,8.0996
7.423333168029785,,34.0948,4397.0,-54.4189,-89.146,9.0,3.4524997526460472,-54.4189,-89.146
24.221248626708984,,36.534,4607.0,19.0,-29.0,3.0,5.038806802032357,19.0,-29.0
,,36.448,5517.0,-7.994,-28.007,6.0,5.2258073491379,-7.994,-28.007
,,35.155,120.0,59.0,1.5003,5.373,3.703771783776272,59.0,1.5003
,,33.976,4733.0,-56.993,57.607,4.0,2.856304965022197,-56.993,57.607
5.184999942779541,,34.782,3397.0,59.068,-49.944,3.0,4.237003273506064,59.068,-49.944
14.0,,32.316,4254.0,49.995,-144.99,10.0,3.4826727825358916,49.995,-144.99
,,35.6078,214.0,33.7153,-76.5303,6.0,4.934513684528573,33.7153,-76.5303
28.184999465942383,,33.918,2839.0,8.006,136.99,5.0,4.376865716751966,8.006,136.99
6.303333282470703,,31.1659,86.0,59.11,-170.25,2.0,2.298337495418033,59.11,-170.25
15.087499618530272,,34.785,5853.0,34.0,155.0,10.0,4.818493013590259,34.0,155.0
1.225000023841858,,33.78,4460.0,-60.0,63.02,6.232,3.050427906710854,-60.0,63.02
19.751249313354492,,34.784,4478.0,30.011,137.03,10.0,4.985455849944981,30.011,137.03
,,33.456,5299.0,40.02,147.53,5.0,3.619583194943653,40.02,147.53
8.25,,33.931999999999995,15.0,54.2488,-9.12867,8.0,3.668030767328789,54.2488,-9.12867
27.357999801635746,,28.847,219.0,7.2201,-53.322,2.0,3.8507845381748895,7.2201,-53.322
16.051666259765625,,35.872,4050.0,43.779,-17.031,6.0,5.013570592388999,43.779,-17.031
24.292499542236328,,36.551,4808.0,18.499,-29.0,4.0,5.117254532804877,18.499,-29.0
,,34.117,2837.0,3.0,155.0,9.0,4.651547928797305,3.0,155.0
14.024999618530272,,29.92,196.0,47.702,-122.451,3.0,1.1650340085312825,47.702,-122.451
,,36.006,5000.0,40.5,-16.67,6.0559,4.90028003582286,40.5,-16.67
,,33.67,25.0,53.2,4.4996,5.0,4.056727709297332,53.2,4.4996
,,33.825,4187.0,-56.927,139.86,5.0,3.0470504391609716,-56.927,139.86
26.786666870117188,,36.287,5480.0,12.49,-29.0,3.0,5.3181769550239615,12.49,-29.0
25.57071304321289,,36.083,3407.0,-0.9959,-24.998,4.0,4.748138290140959,-0.9959,-24.998
18.439998626708984,,34.8094,6121.0,33.5052,141.5235,0.0,4.537556376687539,33.5052,141.5235
,,34.128,164.0,57.5,7.4998,5.0,4.905659447811165,57.5,7.4998
24.35999870300293,,36.079,5465.0,11.403,-24.272,4.0,4.870155092312989,11.403,-24.272
28.407499313354492,,34.0156,4143.0,-13.0168,94.9997,6.0,4.273815975974844,-13.0168,94.9997
,,34.831,5729.0,26.0,155.0,5.0,4.584849740703962,26.0,155.0
3.973333358764648,,33.733,4227.0,-47.67,58.0,2.0,3.6275969528316727,-47.67,58.0
28.96555519104004,,33.544,3595.0,17.0,-110.0,2.0,4.148830739509861,17.0,-110.0
,,34.728,26.0,54.999,2.0012,9.889,4.166063900080503,54.999,2.0012
10.72249984741211,,32.345,2671.0,46.59,-126.32,5.0,3.382156829589439,46.59,-126.32
7.676666736602783,,32.755,5142.0,50.007,178.99,10.0,3.2126430950690255,50.007,178.99
,,32.755,4902.0,46.0,158.3,10.0,3.463692273837751,46.0,158.3
,,34.918,87.0,56.0,1.9997,5.911,4.600522434341027,56.0,1.9997
,,34.738,45.0,54.4,4.0005,5.0,4.081092234457212,54.4,4.0005
6.296666622161865,,34.7947,3116.0,59.36322,-36.39468,5.0,3.872938042179767,59.36322,-36.39468
30.842498779296875,,32.61,95.0,27.8697,-93.83,4.0,4.122982001648838,27.8697,-93.83
,,33.829,3444.0,-51.2,-13.33,10.0,3.7930397676315257,-51.2,-13.33
25.2237491607666,,35.567,5476.0,-20.503,-170.0,4.0,5.096913171611125,-20.503,-170.0
,,31.686,67.0,57.9,-169.32,1.0,2.973239784567283,57.9,-169.32
8.885000228881836,,33.835,11.0,53.3383,-6.09567,10.0,3.4299964366799083,53.3383,-6.09567
16.448572158813477,,34.016,82.0,30.458,126.23,3.0,4.336150401816711,30.458,126.23
9.545000076293944,,32.799,4961.0,46.5,-152.0,3.0,3.036142886180934,46.5,-152.0
,,34.765,80.0,57.002,-0.50017,9.478,4.21563337382539,57.002,-0.50017
20.031665802001953,,34.817,4714.0,30.0,-139.51,4.0,4.307550170020871,30.0,-139.51
17.01333236694336,,34.571,5302.0,-39.667,-150.0,5.0,4.095234718724906,-39.667,-150.0
29.4516658782959,,34.589,5241.0,14.991,164.99,0.0,4.419588781348451,14.991,164.99
6.984999656677246,,32.768,26.0,53.2017,-9.25933,3.0,3.233830640144318,53.2017,-9.25933
3.297499895095825,,33.747,3725.0,-58.85,139.84,6.0,3.31282993780548,-58.85,139.84
4.464999675750732,,34.837,3336.0,59.484,-49.474,3.0,4.209820555304602,59.484,-49.474
2.6499998569488525,,34.27,3608.0,57.8,-51.34,3.0,5.323066932332178,57.8,-51.34
9.335000038146973,,35.007,3088.0,59.299,-35.763,10.0,4.291484035352489,59.299,-35.763
,,32.991,5337.0,44.0,155.0,4.0,3.0010575900388754,44.0,155.0
,,32.529,2106.0,43.088,-48.835,6.0,3.667015898469145,43.088,-48.835
,,34.673,96.0,58.001,4.2532,5.944,3.804251345878455,58.001,4.2532
,,31.6561,73.0,57.91,-169.24,2.0,1.7141258735727614,57.91,-169.24
14.835000038146973,,32.909,4415.0,42.001,164.99,0.0,3.5288744203294464,42.001,164.99
28.090999603271484,,35.174,5015.0,8.5007,-27.75,3.0,4.9403164754646385,8.5007,-27.75
12.329999923706056,,34.3553,5528.0,40.0075,159.671,9.0,3.889360804452521,40.0075,159.671
,0.2733702063560486,32.914,151.0,54.021,-55.198,4.0,2.4031506472797273,54.021,-55.198
20.03999900817871,,34.3137,5584.0,39.0175,165.6985,0.0,4.293622001999177,39.0175,165.6985
27.52750015258789,,36.347,4165.0,-16.753,-130.0,10.0,5.425871883037326,-16.753,-130.0
5.287499904632568,,32.891,5404.0,43.01,165.02,0.0,3.1901698741030935,43.01,165.02
17.677000045776367,,36.207,5099.0,40.333,-11.34,7.54,5.066250658122304,40.333,-11.34
,,34.171,4933.0,-54.018,-89.001,6.0,3.3326988762137293,-54.018,-89.001
,,34.543,6005.0,38.0,155.0,0.0,4.789922400233855,38.0,155.0
22.954999923706055,,36.923,5467.0,22.5,-27.594,3.0,5.324614513593287,22.5,-27.594
27.098569869995117,,34.413,5540.0,16.0,171.4,10.0,4.602950337075651,16.0,171.4
,,33.6638,5256.0,-59.1514,54.974,9.0,2.8459273524603517,-59.1514,54.974
,,35.288,125.0,60.0,-0.49967,5.664,5.794300468828287,60.0,-0.49967
28.792499542236328,,34.164,4249.0,7.005,136.99,4.0,4.261315595912531,7.005,136.99
18.323333740234375,,34.93,6060.0,30.0,166.73,3.0,4.67716825682965,30.0,166.73
12.872499465942385,,35.57,74.0,48.498,-8.4992,4.0,5.139848941371184,48.498,-8.4992
,,34.297,44.0,55.001,6.5013,8.825,3.1174109513184827,55.001,6.5013
8.246665954589844,,33.636,8.0,53.9493,-6.197,4.0,3.292460420740112,53.9493,-6.197
29.581249237060547,,34.776,2560.0,3.8233,-3.0003,6.0,4.824102489833433,3.8233,-3.0003
5.694999694824219,,34.0235,5071.0,-59.9678,-89.1335,8.0,3.7553857294673114,-59.9678,-89.1335
13.353750228881836,,29.065,245.0,48.63,-123.24,10.0,1.1973889146193053,48.63,-123.24
23.03333282470703,,35.618,4400.0,-29.998,66.417,1.157,4.610675435521746,-29.998,66.417
,,34.006,5534.0,41.0,155.0,6.0,4.498851089845857,41.0,155.0
29.553333282470703,,34.613,5127.0,1.6672,-3.0,5.0,4.582636029178193,1.6672,-3.0
,,34.893,5638.0,33.5,141.49,0.0,4.794799700370257,33.5,141.49
25.108999252319336,,36.446,5271.0,15.499,-29.0,3.0,5.354228543203505,15.499,-29.0
,,33.75,198.0,58.999,3.5028,5.0,4.2030480999637465,58.999,3.5028
10.670000076293944,,28.276,177.0,49.82,-124.86,2.0,1.2599659714556282,49.82,-124.86
,,34.626,28.0,53.8,1.4998,4.259,3.7669067306078934,53.8,1.4998
27.65166664123535,,35.944,4072.0,7.4998,-23.667,6.0,5.109615336477815,7.4998,-23.667
27.76249885559082,,33.913,4909.0,9.9778,136.97,0.0,4.536624183469816,9.9778,136.97
,,34.318,5630.0,15.5,-152.0,10.0,4.428355500814469,15.5,-152.0
,,34.996,2457.0,59.165,-34.476,3.0,4.624593387322009,59.165,-34.476
,,34.947,59.0,57.0,3.7498,5.448,4.878749832774303,57.0,3.7498
,,34.797,82.0,56.0,0.5,5.0,3.782989130740582,56.0,0.5
,,34.1659,5460.0,40.0098,158.3547,10.0,4.138311532147934,40.0098,158.3547
,,35.065,2273.0,-40.0,77.05,3.1,4.633657103659233,-40.0,77.05
,,35.8,6060.0,41.001,-17.334,8.0371,4.993638543614235,41.001,-17.334
,,32.0349,100.0,59.9,-173.4,2.0,2.9777662682614108,59.9,-173.4
24.231666564941406,,36.066,203.0,18.01,-16.5,6.0,4.730834102858315,18.01,-16.5
3.169999837875366,,34.761,3391.0,57.77,-53.916,10.0,3.668766950221218,57.77,-53.916
,,33.986,4085.0,-58.499,-125.98,10.0,3.146922041546122,-58.499,-125.98
,,34.846,3426.0,-44.529,-173.49,2.579,4.399670472035931,-44.529,-173.49
30.364999771118164,,35.0046,5562.0,24.2568,155.2408,0.0,4.50781572238434,24.2568,155.2408
25.36400032043457,,33.551,3891.0,4.5001,-110.0,4.0,4.1617010625556485,4.5001,-110.0
7.256999969482422,,27.957,57.0,49.02,-123.43,10.0,0.888021889081996,49.02,-123.43
30.44999885559082,,34.2272,2871.0,-0.0028,159.997,0.0,4.39072856484243,-0.0028,159.997
,,33.162,5293.0,44.0,160.0,10.0,3.433967725089472,44.0,160.0
,,34.754,33.0,52.01,2.5072,9.923,5.079096213940819,52.01,2.5072
,,32.9748,1146.0,42.8545,145.543,9.0,4.238529775170926,42.8545,145.543
,,34.261,5416.0,14.0,-152.0,10.0,4.439494335634716,14.0,-152.0
,,34.436,6005.0,38.0,155.0,6.0,4.9591270107474426,38.0,155.0
18.024999618530273,,34.819,5715.0,31.982,142.97,10.0,4.726380457537617,31.982,142.97
26.512142181396484,,35.9139,1782.0,13.1319,-69.8835,5.0,4.832410134410849,13.1319,-69.8835
6.230000019073486,,30.1331,93.0,59.8982,-174.0078,10.0,3.961686013606948,59.8982,-174.0078
21.709999084472656,,31.159,2.0,25.3451,-81.1521,1.0,3.7388897674682258,25.3451,-81.1521
,,33.417,40.0,33.49,-117.75,3.0,3.940260830783924,33.49,-117.75
11.114999771118164,,35.444,3817.0,52.025,-23.972,6.0,4.479948620282616,52.025,-23.972
25.529998779296875,,33.723,3876.0,3.0,-110.0,4.0,4.17123548215059,3.0,-110.0
29.167499542236328,,34.2262,5239.0,-0.0093,149.9998,10.0,4.406503344994666,-0.0093,149.9998
22.25500106811523,,35.925,62.0,20.39,-17.53,5.0,4.271317285438611,20.39,-17.53
,,35.391,5013.0,-28.006,-169.99,2.682,5.11875027259299,-28.006,-169.99
17.934444427490234,,33.57,73.0,25.919,120.79,2.0,4.19619061001306,25.919,120.79
,,32.432,140.0,55.003,-166.0,0.0,3.884392046848811,55.003,-166.0
,,34.734,5135.0,-46.337,-171.37,2.9753,4.310667329212095,-46.337,-171.37
16.565000534057617,,33.595,3023.0,30.69,-118.79,5.0,3.8637181668288343,30.69,-118.79
,,35.994,4153.0,40.5,-20.66,6.6976,4.998304276703748,40.5,-20.66
24.82799911499023,,36.272,3613.0,-25.001,-101.5,3.0,4.677073743648479,-25.001,-101.5
,,32.442,2750.0,52.33,-133.67,9.0,2.708853153913913,52.33,-133.67
,,35.502,5034.0,-6.9988,-168.75,1.4916,4.896382171303361,-6.9988,-168.75
,,35.112,981.0,-42.932,-174.79,2.7778,4.542272961916988,-42.932,-174.79
,,33.908,3611.0,-56.933,-0.003,9.0,3.0651584139031884,-56.933,-0.003
,,32.533,3539.0,53.489,-139.76,4.0,3.510259754978315,53.489,-139.76
25.371665954589844,,36.042,2874.0,-0.6661,-25.001,3.0,4.81333602953113,-0.6661,-25.001
