Metric,Value,Unit
R²,0.8012587536668755,
RMSE,0.38665089160917193,Omega
MAE,0.23261742422840798,Omega
CV_R²_mean,0.802490679751826,
CV_R²_std,0.04105100866729891,
Mean_Confidence,71.177729124703,%
