Model,R²,RMSE,MAE,Train Time (s)
Random Forest,0.8080264252013875,0.38001062323377827,0.22825534256576754,0.15169024467468262
XGBoost,0.7979929502668007,0.38981475565780793,0.23070118194364672,0.18001508712768555
LightGBM,0.7813372438159308,0.4055668227446668,0.2386137301824917,0.37267303466796875
Neural Network,0.7531787669949008,0.4308898561841131,0.2729166474165438,6.565780878067017
